iter	Passed	Remaining
400	29168	43571
401	29234	43487
402	29294	43396
403	29353	43304
404	29419	43221
405	29483	43136
406	29560	43069
407	29625	42986
408	29696	42910
409	29770	42840
410	29839	42763
411	29922	42704
412	29989	42623
413	30045	42527
414	30111	42446
415	30179	42366
416	30243	42283
417	30306	42196
418	30369	42111
419	30444	42042
420	30507	41957
421	30582	41887
422	30648	41806
423	30713	41723
424	30777	41640
425	30852	41571
426	30926	41500
427	31002	41432
428	31061	41342
429	31127	41261
430	31202	41192
431	31272	41117
432	31340	41039
433	31409	40963
434	31474	40880
435	31547	40809
436	31603	40716
437	31672	40639
438	31737	40557
439	31807	40482
440	31884	40416
441	31951	40336
442	32008	40245
443	32079	40171
444	32133	40076
445	32208	40008
446	32273	39926
447	32347	39856
448	32409	39772
449	32485	39704
450	32542	39613
451	32605	39531
452	32670	39449
453	32745	39381
454	32803	39291
455	32881	39227
456	32942	39141
457	32999	39051
458	33080	38989
459	33139	38902
460	33214	38834
461	33290	38767
462	33366	38699
463	33434	38622
464	33506	38550
465	33576	38475
466	33642	38397
467	33703	38312
468	33771	38235
469	33837	38157
470	33910	38085
471	33977	38008
472	34046	37933
473	34118	37861
474	34180	37778
475	34246	37699
476	34325	37636
477	34394	37560
478	34465	37487
479	34540	37419
480	34605	37339
481	34678	37268
482	34744	37190
483	34808	37109
484	34876	37034
485	34938	36951
486	35009	36878
487	35074	36799
488	35152	36733
489	35226	36664
490	35293	36587
491	35363	36513
492	35429	36435
493	35499	36361
494	35567	36285
495	35631	36206
496	35697	36128
497	35761	36048
498	35842	35986
499	35923	35923
500	35989	35845
501	36065	35778
502	36140	35709
503	36208	35633
504	36273	35555
505	36357	35495
506	36423	35417
507	36498	35348
508	36573	35280
509	36645	35208
510	36711	35131
511	36775	35051
512	36854	34986
513	36912	34901
514	36978	34824
515	37060	34761
516	37126	34685
517	37183	34599
518	37255	34527
519	37317	34446
520	37382	34368
521	37453	34296
522	37523	34222
523	37589	34146
524	37664	34077
525	37732	34002
526	37808	33934
527	37877	33860
528	37949	33788
529	38027	33722
530	38093	33645
531	38172	33580
532	38250	33514
533	38319	33439
534	38385	33362
535	38459	33293
536	38521	33213
537	38579	33129
538	38654	33061
539	38738	32999
540	38803	32922
541	38880	32854
542	38950	32781
543	39025	32712
544	39087	32633
545	39145	32549
546	39213	32474
547	39284	32402
548	39349	32325
549	39424	32256
550	39480	32171
551	39541	32091
552	39606	32014
553	39676	31941
554	39737	31861
555	39808	31789
556	39877	31716
557	39956	31650
558	40023	31574
559	40097	31505
560	40171	31435
561	40239	31360
562	40313	31291
563	40379	31215
564	40435	31131
565	40494	31050
566	40558	30973
567	40634	30905
568	40709	30836
569	40782	30765
570	40858	30697
571	40943	30635
572	41013	30563
573	41087	30493
574	41158	30421
575	41232	30351
576	41288	30268
577	41360	30197
578	41429	30124
579	41488	30043
580	41562	29973
581	41636	29904
582	41702	29828
583	41763	29749
584	41828	29673
585	41900	29601
586	41980	29536
587	42036	29454
588	42111	29384
